,text
0,"In the present study, Er and Yb co-doped TiO2 (Er-Yb:TiO2) nanorod arrays were grown with a hydrothermal method, and perovskite solar cells were fabricated using them as an electron transfer material. The photovoltaic performance of the solar cells based on Er-Yb:TiO2 was enhanced compared with that of solar cells based on un-doped TiO2. The power conversion efficiency of the solar cells on Er-Yb:TiO2 increased to 13.4%, which is 20.8% higher than that of the solar cells based on un-doped TiO2. The experimental results indicate that the larger open circuit voltage could be due to the larger conduction band difference between Er-Yb:TiO2 and perovskite material. The enlarged short circuit current could be attributed to the faster electron transfer, reduced recombination, and the upconversion of Er-Yb:TiO2 NRs."
1,"An important property of hybrid layered perovskite is the possibility to reduce its dimensionality to provide wider band gap and better stability. In this work, 2D perovskite of the structure (PEA)2(MA)n–1PbnBr3n+1 has been sensitized, where PEA is phenyl ethyl-ammonium, MA is methyl-ammonium, and using only bromide as the halide. The number of the perovskite layers has been varied (n) from n = 1 through n = ∞. Optical and physical characterization verify the layered structure and the increase in the band gap. The photovoltaic performance shows higher open circuit voltage (Voc) for the quasi 2D perovskite (i.e., n = 40, 50, 60) compared to the 3D perovskite. Voc of 1.3 V without hole transport material (HTM) and Voc of 1.46 V using HTM have been demonstrated, with corresponding efficiency of 6.3% and 8.5%, among the highest reported. The lower mobility and transport in the quasi 2D perovskites have been proved effective to gain high Voc with high efficiency, further supported by ab initio calculations and charge extraction measurements. Bromide is the only halide used in these quasi 2D perovskites, as mixing halides have recently revealed instability of the perovskite structure. These quasi 2D materials are promising candidates for use in optoelectronic applications that simultaneously require high voltage and high efficiency."
2,"The strategy of sequentially spin-coating a perovskite film from the perovskite precursor and an electron transporting layer of [6,6]-phenyl-C71-butyric acid methyl ester (PC71BM) is developed to simplify the fabrication procedure of perovskite solar cells. X-ray diffraction and scanning electron microscopy indicate that PC71BM film on perovskite layer can retard the evaporation of dimethyl sulfoxide (DMSO) efficiently, thus prolonging the transformation of intermediate phase to perovskite crystals, leading to a high quality perovskite thin film. The solar cells with the structure of indium tin oxides (ITO)/poly(3,4-ethylenedioxythiophene):poly(styrenesulfonate) (PEDOT:PSS)/CH3NH3PbI3/PC71BM/bathocuproine (BCP)/Ag made from this simplified method exhibit a higher efficiency (12.68%) than those from the conventional one-step method (9.49%)."
3,"Hybrid lead halide perovskites (PVKs) have emerged as novel materials for photovoltaics and have rapidly reached very large solar to electricity power conversion efficiencies. As occurring with other kind of solar technologies establishing the working energy-band diagram constitutes a primary goal for device physics analysis. Here, the macroscopic electrical field distribution is experimentally determined using capacitance-voltage and Kelvin probe techniques. Planar structures comprising CH3NH3PbI3−xClx PVK exhibit p-doping character and form a p-n heterojunction with n-doped TiO2 compact layers. Depletion width at equilibrium within the PVK bulk has an extent about 300 nm (approximately half of the layer thickness), leaving as a consequence a significant neutral zone towards the anode contact. Charge collection properties are then accessible relying on the relative weight that diffusion and drift have as carrier transport driven forces."
4,"Sn-doped TiO2 films were successfully deposited by low-temperature solution method as electron transport layer (ETL), whose influence on the performance of perovskite solar cell (PSC) was investigated. In this work, X-ray photoelectron spectroscopy and X-ray diffraction revealed that Sn4+ was successfully incorporated into the TiO2 lattice as an effective metal ion dopant without forming secondary phases. Compared with pristine TiO2, the Sn-doped TiO2 is more efficient for photogenerated electron extraction and transport, showing lower trap-state density and higher conductivity. Higher short-circuit current (Jsc) is obtained due to the enhanced carrier transport velocity and improved charge collection efficiency, leading to a higher fill factor (FF) and better energy transfer efficiency. Our optimized planar solar cell using such a Sn-doped TiO2 ETL has achieved power conversion efficiency (PCE) of 17.2%, which was almost 29.3% higher than that of sample using the undoped TiO2. To the best of our knowledge, this is the lowest processing temperature for Sn-dope TiO2 film at present, which provides an effective route towards flexible high-performance PSCs."
5,"Guanidinium (GA) has been proposed as an effective organic cation in improving the stability of lead halide perovskite solar cells (PSCs). However, the reported efficiency of GA based PSCs is far behind traditional GA-free devices. Herein, a novel GA doped quadruple cation perovskite, Cs0.05(FA0.83(MA1−xGAx)0.17)0.95Pb(I0.83Br0.17)3 (CsFAMA1−xGAx), is presented. It is found that the introduction of GA induces a phase separation of 3D CsFAMA1−xGAx, 2D FAGAPbI4, and 1D δ-FAPbI3. By tuning the content of GA, a δ-FAPbI3/CsFAMA1−xGAx (1D/3D) perovskite with superior optoelectronic properties is demonstrated. The novel 1D/3D perovskite shows an overall improvement in stability. The corresponding solar cell exhibits a PCE of 20.29% with negligible hysteresis, being the highest reported efficiency for GA based PSCs thus far. This study introduces a new perovskite model toward efficient and highly stable PSCs."
6,"Vacuum deposition techniques are used to prepare mixed iodide–bromide methylammonium lead perovskite diodes via an intermediate double layer of the pure iodide and bromide perovskites. The diodes lead to bright electroluminescence, whose emission spectra maxima shift from the infrared toward the visible with increasing bromide content. When illuminated with AM1.5 simulated sunlight the devices function as efficient solar cells with power conversion efficiencies as high as 12.9%."
7,"In this work, we develop a novel fluorinated small molecule BDT2FMeDPA, and further apply it as a dopant-free hole-transport material (HTM) for low-cost, efficient and stable perovskite solar cells (PSCs) with the vacuum-free carbon cathode. BDT2FMeDPA can be simply synthesized from commercial raw materials with a low-production cost. With the introduction of fluorine atoms in BDT2FMeDPA, the hole mobility and conductivity are significantly enhanced with an appropriate energy level alignment as compare with its non-fluorinated analogue (BDT0FMeDPA). The optimized PSC devices with pristine BDT2FMeDPA afford a decent power conversion efficiency of 14.5%, which is considerably higher than the devices using its non-fluorinated analogue (11.3%) under equivalent conditions. Moreover, the PSCs devices incorporating BDT2FMeDPA also show good long-term air stability, maintaining over 90% of its initial efficiency after 30 days under ambient atmosphere, due largely to its hydrophobic characteristic and the carbon cathode. The present work not only emphasizes that the performance of HTM can be effectively tuned through the introduction of fluorine atoms, but also provides insights into future design of dopant-free HTM for low-cost, stable and highly efficient PSCs."
8,"The presence of surface and grain boundary defects in organic–inorganic halide perovskite films can be detrimental to both the performance and operational stability of perovskite solar cells (PSCs). Here, the effect of chloride additives is studied on the bulk and surface defects of the mixed cation and halide PSCs. It is found that using an antisolvent technique, the perovskite film is divided into two layers, i.e., a bottom layer with large grains and a thin capping layer with small grains. The addition of formamidinium chloride (FACl) into the precursor solution removes the small-grained perovskite capping layer and suppresses the formation of bulk and surface defects, providing a perovskite film with enhanced crystallinity and large grain size of over 1 µm. Time-resolved photoluminescence measurements show longer lifetimes for perovskite films modified by FACl and subsequently passivated by 1-adamantylamine hydrochloride as compared to the reference sample. Impedance spectroscopy measurements show that these treatments reduce the recombination in the PSCs, leading to a champion device with power conversion efficiency (PCE) of 21.2%, an open circuit voltage of 1152 mV and negligible hysteresis. The Cl treated PSC also shows improved operational stability with only 12% PCE loss after 700 h under continuous illumination."
9,"o far, encouraging results have been
obtained with the GQ technique in
slot-die/air knife configuration, with
power conversion efficiencies up to
17.87% for a 0.1 cm2 device, and
12.72% for a 1 cm2 solar cell, with an
open circuit voltage (Voc) of up to
1.09 V, even just using MAPbI3.12,13,15
These achievements underline the
potential of the GQ technique, concur-
rently demonstrating that the deposi-
tion can be executed in circumambient
atmosphere at room temperature, a
fortiori lowering the production con-
straints. In conclusion, GQ is a robust
tool in the development of more envi-
ronmentally friendly large-area deposi-"
