text,sentence_idx,abstract_idx,label
a,0,0,O
seri,0,0,O
of,0,0,O
naphthalen,0,0,O
diimid,0,0,O
(,0,0,O
ndi,0,0,O
),0,0,O
base,0,0,O
n-type,0,0,O
conjug,0,0,O
polym,0,0,O
with,0,0,O
amino-function,0,0,O
side,0,0,O
group,0,0,O
and,0,0,O
backbon,0,0,O
were,0,0,O
synthes,0,0,O
and,0,0,O
use,0,0,O
as,0,0,O
cathod,0,0,O
interlay,0,0,O
(,0,0,O
cil,0,0,O
),0,0,O
in,0,0,O
polym,0,0,O
and,0,0,O
perovskit,0,0,B
solar,0,0,O
cell,0,0,O
.,0,0,O
becaus,1,0,O
of,1,0,O
control,1,0,O
amin,1,0,O
side,1,0,O
group,1,0,O
",",1,0,O
all,1,0,O
the,1,0,O
result,1,0,O
polym,1,0,O
exhibit,1,0,O
distinct,1,0,O
electron,1,0,O
properti,1,0,O
such,1,0,O
as,1,0,O
oxid,1,0,O
potenti,1,0,O
of,1,0,O
side,1,0,O
chain,1,0,O
",",1,0,O
charg,1,0,O
carrier,1,0,O
mobil,1,0,O
",",1,0,O
self-dop,1,0,O
behavior,1,0,O
",",1,0,O
and,1,0,O
interfaci,1,0,O
dipol,1,0,O
.,1,0,O
the,2,0,O
influenc,2,0,O
of,2,0,O
the,2,0,O
chemic,2,0,O
variat,2,0,O
of,2,0,O
amin,2,0,O
group,2,0,O
on,2,0,O
the,2,0,O
cathod,2,0,O
interfaci,2,0,O
effect,2,0,O
were,2,0,O
further,2,0,O
investig,2,0,O
in,2,0,O
both,2,0,O
polym,2,0,O
and,2,0,O
perovskit,2,0,B
solar,2,0,O
cell,2,0,O
.,2,0,O
we,3,0,O
found,3,0,O
that,3,0,O
the,3,0,O
decreas,3,0,O
electron-don,3,0,O
properti,3,0,O
and,3,0,O
enhanc,3,0,O
steric,3,0,O
hindranc,3,0,O
of,3,0,O
amin,3,0,O
side,3,0,O
group,3,0,O
substanti,3,0,O
weaken,3,0,O
the,3,0,O
capac,3,0,O
of,3,0,O
alter,3,0,O
the,3,0,O
work,3,0,O
function,3,0,O
of,3,0,O
the,3,0,O
cathod,3,0,O
and,3,0,O
trap,3,0,O
passiv,3,0,O
of,3,0,O
the,3,0,O
perovskit,3,0,B
film,3,0,O
",",3,0,O
which,3,0,O
induc,3,0,O
ineffect,3,0,O
interfaci,3,0,O
modif,3,0,O
and,3,0,O
declin,3,0,O
devic,3,0,O
perform,3,0,O
.,3,0,O
moreov,4,0,O
",",4,0,O
