text,sentence_idx,abstract_idx,label,predicted
a,0,0,O,O
seri,0,0,O,O
of,0,0,O,O
naphthalen,0,0,O,O
diimid,0,0,O,O
(,0,0,O,O
ndi,0,0,O,O
),0,0,O,O
base,0,0,O,O
n-type,0,0,O,O
conjug,0,0,O,O
polym,0,0,O,O
with,0,0,O,O
amino-function,0,0,O,O
side,0,0,O,O
group,0,0,O,O
and,0,0,O,O
backbon,0,0,O,O
were,0,0,O,O
synthes,0,0,O,O
and,0,0,O,O
use,0,0,O,O
as,0,0,O,O
cathod,0,0,O,O
interlay,0,0,O,O
(,0,0,O,O
cil,0,0,O,O
),0,0,O,O
in,0,0,O,O
polym,0,0,O,O
and,0,0,O,O
perovskit,0,0,B,B
solar,0,0,O,O
cell,0,0,O,O
.,0,0,O,O
becaus,1,0,O,O
of,1,0,O,O
control,1,0,O,O
amin,1,0,O,O
side,1,0,O,O
group,1,0,O,O
",",1,0,O,O
all,1,0,O,O
the,1,0,O,O
result,1,0,O,O
polym,1,0,O,O
exhibit,1,0,O,O
distinct,1,0,O,O
electron,1,0,O,O
properti,1,0,O,O
such,1,0,O,O
as,1,0,O,O
oxid,1,0,O,O
potenti,1,0,O,O
of,1,0,O,O
side,1,0,O,O
chain,1,0,O,O
",",1,0,O,O
charg,1,0,O,O
carrier,1,0,O,O
mobil,1,0,O,O
",",1,0,O,O
self-dop,1,0,O,O
behavior,1,0,O,O
",",1,0,O,O
and,1,0,O,O
interfaci,1,0,O,O
dipol,1,0,O,O
.,1,0,O,O
the,2,0,O,O
influenc,2,0,O,O
of,2,0,O,O
the,2,0,O,O
chemic,2,0,O,O
variat,2,0,O,O
of,2,0,O,O
amin,2,0,O,O
group,2,0,O,O
on,2,0,O,O
the,2,0,O,O
cathod,2,0,O,O
interfaci,2,0,O,O
effect,2,0,O,O
were,2,0,O,O
further,2,0,O,O
investig,2,0,O,O
in,2,0,O,O
both,2,0,O,O
polym,2,0,O,O
and,2,0,O,O
perovskit,2,0,B,B
solar,2,0,O,O
cell,2,0,O,O
.,2,0,O,O
we,3,0,O,O
found,3,0,O,O
that,3,0,O,O
the,3,0,O,O
decreas,3,0,O,O
electron-don,3,0,O,O
properti,3,0,O,O
and,3,0,O,O
enhanc,3,0,O,O
steric,3,0,O,O
hindranc,3,0,O,O
of,3,0,O,O
amin,3,0,O,O
side,3,0,O,O
group,3,0,O,O
substanti,3,0,O,O
weaken,3,0,O,O
the,3,0,O,O
capac,3,0,O,O
of,3,0,O,O
alter,3,0,O,O
the,3,0,O,O
work,3,0,O,O
function,3,0,O,O
of,3,0,O,O
the,3,0,O,O
cathod,3,0,O,O
and,3,0,O,O
trap,3,0,O,O
passiv,3,0,O,O
of,3,0,O,O
the,3,0,O,O
perovskit,3,0,B,B
film,3,0,O,O
",",3,0,O,O
which,3,0,O,O
induc,3,0,O,O
ineffect,3,0,O,O
interfaci,3,0,O,O
modif,3,0,O,O
and,3,0,O,O
declin,3,0,O,O
devic,3,0,O,O
perform,3,0,O,O
.,3,0,O,O
moreov,4,0,O,O
",",4,0,O,O
with,4,0,O,O
further,4,0,O,O
improv,4,0,I,I
of,4,0,O,O
the,4,0,O,O
backbon,4,0,O,O
design,4,0,O,O
through,4,0,O,O
the,4,0,O,O
incorpor,4,0,O,O
of,4,0,O,O
a,4,0,O,O
rigid,4,0,O,O
acetylen,4,0,O,O
spacer,4,0,O,O
",",4,0,O,O
the,4,0,O,O
result,4,0,O,O
polym,4,0,O,O
substanti,4,0,O,O
exhibit,4,0,O,O
an,4,0,O,O
enhanc,4,0,O,O
electron-transport,4,0,O,O
properti,4,0,O,O
.,4,0,O,O
upon,5,0,O,O
use,5,0,O,O
as,5,0,O,O
cil,5,0,O,O
",",5,0,O,O
high,5,0,O,O
power,5,0,O,O
convers,5,0,O,O
effici,5,0,O,O
(,5,0,O,O
pce,5,0,O,O
),5,0,O,O
of,5,0,O,O
10.1,5,0,O,O
%,5,0,O,O
and,5,0,O,O
15.2,5,0,O,O
%,5,0,O,O
were,5,0,O,O
",",5,0,O,O
respect,5,0,O,O
",",5,0,O,O
achiev,5,0,O,O
in,5,0,O,O
polym,5,0,O,O
and,5,0,O,O
perovskit,5,0,B,B
solar,5,0,O,O
cell,5,0,O,O
.,5,0,O,O
importantli,6,0,O,O
",",6,0,O,O
