text,label
A,O
series,O
of,O
naphthalene,O
diimide,O
(NDI),O
based,O
n-type,O
conjugated,O
polymers,O
with,O
amino-functionalized,O
side,O
groups,O
and,O
backbones,O
were,O
synthesized,I
and,O
used,O
as,O
cathode,O
interlayers,O
(CILs),O
in,O
polymer,O
and,O
perovskite,B
solar,O
cells.,O
 ,O
"Moreover,",O
with,O
further,O
improvement,I
of,O
the,O
backbone,O
design,O
through,O
the,O
incorporation,O
of,O
a,O
rigid,O
acetylene,O
"spacer,",O
the,O
resulting,O
polymers,O
substantially,O
exhibited,O
an,O
enhanced,O
electron-transporting,O
property.,O
 ,O
"Importantly,",O
these,O
newly,O
developed,O
n-type,O
polymers,O
were,O
allowed,O
to,O
be,O
processed,I
over,O
a,O
broad,O
thickness,O
range,O
of,O
CILs,O
in,O
photovoltaic,O
"devices,",O
and,O
a,O
prominent,O
PCE,O
of,O
over,O
8%,O
for,O
polymer,O
solar,O
cells,O
and,O
13.5%,B
for,O
perovskite,B
solar,O
cells,O
can,O
be,O
achieved,O
with,O
the,O
thick,O
interlayers,O
over,O
100,O
"nm,",O
which,O
is,O
beneficial,O
for,O
roll-to-roll,O
coating,O
processes.,O
 ,O
As,O
a,O
"result,",O
D1–D3-based,B
devices,O
showed,O
very,O
good,O
performances,O
comparable,O
to,O
devices,O
fabricated,I
without,O
additives,O
and,O
an,O
increased,O
stability.,O
 ,O
The,O
power,O
conversion,O
efficiency,O
of,O
PSCs,B
is,O
eventually,O
improved,I
from,O
18.21%,O
to,O
20.3%.,B
 ,O
Solar,O
cells,O
based,O
on,O
CH3NH3PbBr3,B
are,O
fabricated,I
using,O
one-step,O
spin,O
coating,O
deposition.,O
 ,O
we,O
reported,O
the,O
that,O
the,O
crystallinity,O
and,O
grain,O
size,O
of,O
perovskite,B
films,O
could,O
be,O
systematically,O
tailored,O
by,O
modulating,O
the,O
stoichiometry,O
of,O
the,O
precursor,O
solution,O
in,O
the,O
hot-casting,O
process,I
under,O
ambient,O
condition,O
with,O
a,O
relative,O
humidity,O
of,O
40%.,O
 ,O
This,O
work,O
highlights,O
a,O
new,O
strategy,O
to,O
prepare,I
high-quality,O
perovskite,B
thin,O
films,O
with,O
excellent,O
crystal,O
quality,O
under,O
ambient,O
condition...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................,O
 ,O
The,O
highly,O
ordered,O
vertically,O
oriented,O
perovskite,B
films,O
significantly,O
improve,I
the,O
charge,O
collection,O
efficiency,O
between,O
two,O
electrodes.,O
 ,O
To,O
improve,I
the,O
